name,price
hear,311.32
article,219.36
word,155.96
again,346.40
fight,225.13
simple,276.65
together,487.55
indeed,495.34
what,216.96
dream,338.60
two,262.84
science,190.15
health,222.73
raise,132.99
current,369.80
agency,329.46
past,454.83
bag,376.33
money,395.38
six,141.85
much,494.61
must,291.02
herself,299.78
wear,417.64
measure,131.52
live,498.39
care,313.01
nature,185.10
take,108.87
thus,427.27
goal,114.74
carry,233.36
area,166.31
lot,168.71
us,318.25
day,175.88
middle,128.61
already,397.62
until,373.15
sea,353.92
ask,275.35
physical,123.90
develop,192.07
son,343.26
watch,243.34
different,202.28
outside,340.66
within,252.17
away,375.97
special,468.72
issue,140.24
realize,176.64
improve,308.77
identify,250.00
add,283.14
campaign,154.93
room,472.26
machine,340.81
people,153.49
four,265.85
store,478.80
ask,339.08
cup,160.30
gun,182.15
show,131.88
skill,359.35
life,246.03
provide,281.08
all,471.24
adult,333.22
major,222.06
energy,423.25
world,474.76
that,102.64
senior,328.22
study,117.88
third,206.37
north,130.79
old,202.07
security,359.40
focus,226.65
understand,279.79
score,245.09
idea,452.45
idea,383.96
teacher,329.47
reflect,252.22
hundred,321.86
represent,400.77
best,481.89
scientist,435.26
four,448.20
happen,499.87
other,440.52
news,114.60
set,111.19
nice,327.11
nor,472.96
modern,457.34
ready,229.89
amount,207.85
together,186.62
way,493.59
try,190.36
continue,278.90
kitchen,433.59
letter,455.41
wide,497.81
discussion,366.37
student,348.23
bank,288.03
challenge,244.70
specific,250.53
economic,218.01
real,205.57
story,134.33
lead,364.19
wait,125.60
education,381.38
force,488.04
matter,419.28
scientist,263.43
Republican,102.93
table,123.65
front,438.92
piece,498.40
identify,377.13
think,147.70
Mrs,316.81
law,300.32
thing,209.90
however,364.24
decide,207.01
answer,463.20
record,254.15
ok,239.71
own,129.20
reduce,431.09
appear,349.47
expect,308.37
Democrat,337.74
write,321.15
course,311.10
dream,240.72
never,244.78
itself,427.31
with,192.14
wrong,407.38
section,489.54
style,401.21
city,167.38
rise,276.75
fear,422.24
keep,379.81
develop,106.23
half,278.54
little,233.35
home,100.80
recent,484.65
for,181.19
positive,352.85
use,320.27
old,286.26
lawyer,112.37
business,171.55
action,109.21
PM,249.41
including,357.50
while,205.17
hundred,439.96
body,191.04
total,388.92
garden,332.24
different,422.83
hundred,293.40
environment,149.14
task,200.24
bit,467.80
deal,428.75
middle,400.31
actually,159.48
record,435.75
through,309.35
off,393.06
former,300.79
situation,439.63
gas,482.47
have,167.01
deep,242.82
house,138.36
one,185.84
tree,343.75
author,130.04
building,100.98
born,368.36
clearly,452.31
artist,261.00
style,352.45
somebody,470.89
amount,463.29
meeting,325.93
word,131.18
war,341.11
five,498.25
section,358.89
agreement,351.78
show,262.03
voice,194.16
write,427.53
able,280.78
tonight,496.15
sing,348.47
serve,172.48
maintain,246.88
college,496.58
issue,176.77
instead,394.52
task,208.21
result,183.32
there,269.51
see,262.94
serious,248.58
water,106.80
better,305.47
value,273.43
religious,198.69
push,276.46
season,463.05
apply,487.61
record,273.98
first,409.37
democratic,210.02
near,403.35
area,317.11
near,388.31
kid,343.35
with,154.32
tough,369.22
begin,384.87
eat,376.28
teach,316.70
law,234.38
these,370.75
leave,235.80
look,275.07
knowledge,263.95
recently,325.30
job,204.75
close,167.99
book,252.10
pay,242.60
paper,206.71
type,299.58
card,245.34
free,213.61
hit,165.59
image,419.75
new,301.04
draw,139.02
join,197.24
forward,246.51
life,231.76
tree,132.34
feeling,206.70
account,332.99
little,188.73
rest,221.24
necessary,255.54
before,484.19
parent,202.97
whom,342.39
win,197.28
especially,163.22
Mrs,389.48
skin,412.63
risk,175.55
staff,428.96
analysis,239.13
door,284.95
network,291.20
threat,432.49
director,223.50
yet,319.78
wide,155.89
themselves,479.89
condition,269.50
picture,399.43
apply,253.96
on,167.70
class,207.47
why,463.56
their,343.19
speech,437.61
surface,452.25
sense,149.29
success,234.02
network,432.72
light,255.65
participant,235.09
western,497.07
population,309.44
onto,199.41
indeed,435.95
state,339.55
enough,278.04
third,242.53
safe,365.03
believe,450.11
speech,287.93
similar,182.05
loss,304.12
partner,182.75
still,396.62
science,351.60
physical,368.63
cost,142.24
none,193.35
audience,310.60
look,191.61
care,409.56
hundred,421.47
appear,334.77
step,381.20
walk,417.37
third,434.12
cup,446.25
gas,177.38
also,475.70
way,461.13
song,232.54
process,215.97
take,309.71
animal,259.76
environmental,199.94
nearly,457.59
business,224.19
but,131.02
agree,373.26
others,354.89
short,159.51
especially,483.65
the,406.25
long,462.52
history,398.20
apply,496.24
nation,293.73
speech,322.56
recognize,381.67
still,169.02
once,171.96
beat,338.04
resource,261.53
truth,492.71
note,184.11
full,194.68
style,310.28
security,248.63
worry,421.42
environmental,497.51
decision,343.81
Mrs,425.42
best,341.57
specific,269.97
worker,109.89
side,404.49
we,385.43
radio,204.24
machine,376.37
federal,241.40
among,354.97
on,335.44
former,107.44
history,217.10
every,220.21
member,419.90
poor,364.36
ground,129.16
care,284.08
dinner,260.09
compare,103.92
only,253.35
analysis,210.56
everybody,474.01
job,416.18
surface,356.34
instead,191.48
build,383.62
include,109.02
speech,238.87
style,328.57
key,370.76
onto,352.53
spring,103.02
onto,321.34
director,187.75
statement,118.28
