customerid,ordercount,totalspent
874,142,348521.90
5311,120,331025.57
6749,131,330588.38
413,124,324201.10
4724,131,324054.27
3225,117,323396.38
375,119,319801.16
6078,120,318559.34
6709,131,316097.74
6797,120,316074.42
8378,127,315917.40
4764,124,315621.84
3549,134,315352.71
4151,120,314083.53
3727,136,313253.73
384,127,312913.09
5981,116,312724.47
584,113,312034.08
8096,128,311733.36
7820,122,311361.83
2543,132,311321.32
4424,135,310413.48
3302,130,310404.32
7840,122,309941.35
8618,127,309828.66
6179,128,309441.54
3698,125,308722.29
4946,128,308039.84
3535,127,307775.60
1466,112,307740.34
765,119,307619.02
2203,130,307493.57
5574,127,307424.40
6293,118,307013.15
5199,125,306459.94
289,121,306266.27
284,134,306048.21
1824,133,306005.13
7818,127,305456.87
3575,121,305273.31
2676,120,304958.75
2226,130,304658.60
5057,133,304164.19
9772,125,303955.42
6582,127,303942.69
4126,127,303643.16
3675,127,303396.45
2383,118,303275.15
5441,121,303206.48
3059,116,302999.82
3394,129,302945.19
1073,131,302588.49
4106,114,302587.60
8685,122,302371.68
3711,124,302152.08
7727,113,302032.78
8093,122,301871.65
6124,117,301856.26
5712,120,301289.38
267,116,300841.07
822,121,300667.15
1487,114,300665.57
2105,130,300654.01
123,111,300225.05
4644,123,300182.63
5880,113,300094.97
7739,130,299908.76
8291,119,299859.71
5606,115,299778.69
7674,120,299616.79
5448,122,299611.51
6367,125,299309.87
7732,119,299292.82
9895,125,299008.89
872,117,298862.81
7983,120,298765.23
2154,122,298547.01
9089,116,298467.44
5466,109,298438.84
1633,114,298102.71
6452,115,297911.32
2785,118,297875.96
6106,117,297841.39
4929,118,297841.10
2248,117,297811.53
6180,120,297807.66
6162,124,297737.22
1130,126,297698.67
4365,127,297328.62
1804,126,297240.04
8033,130,296975.78
3095,121,296803.91
2627,120,296639.58
3081,127,296510.56
2900,128,296504.31
4204,116,296485.99
4723,125,296480.56
1644,124,296460.46
7954,118,296428.61
8003,118,296195.47
1171,120,296176.21
5017,119,296050.67
333,115,296040.02
2941,127,296028.93
8575,120,296006.46
5548,118,295825.10
9008,115,295801.19
7872,114,295672.51
5202,127,295636.18
9310,127,295354.92
6295,123,295332.44
3407,118,295323.36
7511,122,295150.36
6684,114,295118.19
178,112,295102.61
9757,117,294952.89
5843,112,294942.33
3637,123,294881.24
427,114,294856.39
6742,113,294504.45
